# generation 7, the first one is fairly good - nets us around an average increase of 1.01 with a HIGH variance. Could be interesitng
Gene Index,C[0],C[1],C[2],C[3],C[4],C[5],C[6],C[7],C[8],C[9],C[10],C[11],C[12],C[13],C[14],C[15],C[16],C[17],C[18],C[19]
80,0.7583222553378262,0.8769527410537677,0.14456354911746427,0.8667428335995995,0.95708802154712,0.36267150248661917,0.840925813317668,0.8956142356670589,0.6113831373243537,0.7011314424376426,0.2354977282284949,0.9703643124713013,0.011029578579377253,0.8127386708328449,0.2207328272872966,0.48724635662147797,0.6275698260681138,0.49097298823917235,0.2032415957611493,0
81,0.747141926683002,0.6384130720727683,0.14456354911746427,0.8667428335995995,0.9958987513889056,0.6699827500138097,0.6221669893088061,0.33020915363890824,0.28537386531300746,0.7011314424376426,0.9851138226182892,0.589575120709291,0.2947601148623823,0.5427312022688505,0.7977956726027992,0.749920735197209,0.6275698260681138,0.19323210541449687,0.2032415957611493,0
82,0.5454605993787685,0.6384130720727683,0.19168194910868275,0.4621622949954527,0.5228264932501363,0.6144458421842767,0.13055966348312054,0.7007393159760924,0.12892661702624952,0.7011314424376426,0.2354977282284949,0.9703643124713013,0.011029578579377253,0.8127386708328449,0.2207328272872966,0.48724635662147797,0.6275698260681138,0.49097298823917235,0.2032415957611493,0
83,0.747141926683002,0.6384130720727683,0.5282441385720953,0.8846191019447835,0.95708802154712,0.36267150248661917,0.840925813317668,0.8956142356670589,0.6113831373243537,0.7011314424376426,0.276691960478721,0.5511924743918342,0.2947601148623823,0.3195650105112654,0.4369162927477652,0.6627364551172208,0.38728681793591735,0.018010505874965888,0.27117547547304066,0
84,0.747141926683002,0.6384130720727683,0.5282441385720953,0.8846191019447835,0.95708802154712,0.36267150248661917,0.840925813317668,0.8956142356670589,0.6113831373243537,0.7011314424376426,0.2354977282284949,0.9703643124713013,0.011029578579377253,0.8127386708328449,0.2207328272872966,0.48724635662147797,0.6275698260681138,0.49097298823917235,0.2032415957611493,0
85,0.747141926683002,0.6384130720727683,0.5282441385720953,0.8846191019447835,0.95708802154712,0.36267150248661917,0.840925813317668,0.8956142356670589,0.6113831373243537,0.7011314424376426,0.2354977282284949,0.9703643124713013,0.011029578579377253,0.8127386708328449,0.2207328272872966,0.48724635662147797,0.6275698260681138,0.49097298823917235,0.2032415957611493,0
86,0.6215474056951149,0.7624269506157805,0.33309489869943065,0.4418238866501861,0.05922796608434655,0.6497161353754111,0.5568543106035115,0.435219013297967,0.6049029527770596,0.7011314424376426,0.276691960478721,0.15631126834587383,0.3895274814737226,0.8127386708328449,0.18970050900353053,0.7007645540311098,0.7671485548172058,0.49097298823917235,0.2032415957611493,1
87,0.7583222553378262,0.8769527410537677,0.14456354911746427,0.8667428335995995,0.9958987513889056,0.6699827500138097,0.6221669893088061,0.33020915363890824,0.28537386531300746,0.7011314424376426,0.9851138226182892,0.589575120709291,0.2947601148623823,0.5427312022688505,0.4369162927477652,0.6627364551172208,0.38728681793591735,0.018010505874965888,0.27117547547304066,0
88,0.5454605993787685,0.6384130720727683,0.19168194910868275,0.723467257393368,0.5228264932501363,0.36267150248661917,0.840925813317668,0.7634705654152844,0.40993903468680437,0.9629946217316838,0.9020960479969948,0.7009805285249555,0.12371321996218865,0.3195650105112654,0.4369162927477652,0.6627364551172208,0.38728681793591735,0.018010505874965888,0.9831950365915205,1
89,0.747141926683002,0.6384130720727683,0.5282441385720953,0.8846191019447835,0.5516423547070345,0.21360715919211204,0.13055966348312054,0.7007393159760924,0.4426801787187735,0.7011314424376426,0.276691960478721,0.15631126834587383,0.3895274814737226,0.8127386708328449,0.4174537007692437,0.6319944091886919,0.38728681793591735,0.3442500235994409,0.27117547547304066,1
90,0.747141926683002,0.6384130720727683,0.5282441385720953,0.8846191019447835,0.5516423547070345,0.36267150248661917,0.840925813317668,0.7634705654152844,0.40993903468680437,0.9629946217316838,0.9020960479969948,0.4675139698401134,0.12371321996218865,0.3195650105112654,0.4369162927477652,0.6627364551172208,0.38728681793591735,0.018010505874965888,0.9831950365915205,1
91,0.6215474056951149,0.7624269506157805,0.33309489869943065,0.4418238866501861,0.05922796608434655,0.6497161353754111,0.5568543106035115,0.435219013297967,0.6049029527770596,0.010371647665396555,0.07893718303214448,0.766006869905341,0.2947601148623823,0.26253355498646425,0.11197017320775138,0.6319944091886919,0.38728681793591735,0.3442500235994409,0.27117547547304066,1
92,0.5454605993787685,0.6384130720727683,0.19168194910868275,0.723467257393368,0.5228264932501363,0.21360715919211204,0.13055966348312054,0.7007393159760924,0.4426801787187735,0.7011314424376426,0.07893718303214448,0.766006869905341,0.2947601148623823,0.26253355498646425,0.11197017320775138,0.6319944091886919,0.38728681793591735,0.3442500235994409,0.27117547547304066,1
93,0.5454605993787685,0.6384130720727683,0.19168194910868275,0.4621622949954527,0.5228264932501363,0.6144458421842767,0.840925813317668,0.7560259008677497,0.6113831373243537,0.7011314424376426,0.2354977282284949,0.9703643124713013,0.011029578579377253,0.8127386708328449,0.2207328272872966,0.48724635662147797,0.6275698260681138,0.49097298823917235,0.2032415957611493,0
94,0.5454605993787685,0.6384130720727683,0.19168194910868275,0.4621622949954527,0.5228264932501363,0.6144458421842767,0.13055966348312054,0.7007393159760924,0.12892661702624952,0.7011314424376426,0.9851138226182892,0.589575120709291,0.37906109538311716,0.5427312022688505,0.7977956726027992,0.749920735197209,0.6275698260681138,0.19323210541449687,0.2032415957611493,0
95,0.6215474056951149,0.7624269506157805,0.33309489869943065,0.4418238866501861,0.05922796608434655,0.6497161353754111,0.5568543106035115,0.47092920123095494,0.6049029527770596,0.9159744151435162,0.276691960478721,0.15631126834587383,0.46656476515089373,0.8127386708328449,0.18970050900353053,0.11043738393415481,0.38728681793591735,0.3442500235994409,0.27117547547304066,1
96,0.7583222553378262,0.8769527410537677,0.14456354911746427,0.8667428335995995,0.9958987513889056,0.6699827500138097,0.6221669893088061,0.33020915363890824,0.28537386531300746,0.7011314424376426,0.9851138226182892,0.589575120709291,0.2947601148623823,0.5427312022688505,0.7977956726027992,0.749920735197209,0.6275698260681138,0.19323210541449687,0.2032415957611493,1
97,0.7583222553378262,0.8769527410537677,0.14456354911746427,0.8667428335995995,0.9958987513889056,0.6699827500138097,0.6221669893088061,0.33020915363890824,0.28537386531300746,0.7011314424376426,0.276691960478721,0.5511924743918342,0.2947601148623823,0.3195650105112654,0.4369162927477652,0.6627364551172208,0.38728681793591735,0.018010505874965888,0.27117547547304066,0
98,0.747141926683002,0.6384130720727683,0.5282441385720953,0.8846191019447835,0.5516423547070345,0.36267150248661917,0.840925813317668,0.8956142356670589,0.6113831373243537,0.7011314424376426,0.2354977282284949,0.9703643124713013,0.011029578579377253,0.8127386708328449,0.2207328272872966,0.48724635662147797,0.6275698260681138,0.49097298823917235,0.2032415957611493,0
99,0.5454605993787685,0.6384130720727683,0.19168194910868275,0.4621622949954527,0.5228264932501363,0.6144458421842767,0.13055966348312054,0.7007393159760924,0.4426801787187735,0.6506047085879614,0.276691960478721,0.5511924743918342,0.2947601148623823,0.3195650105112654,0.4369162927477652,0.6627364551172208,0.38728681793591735,0.018010505874965888,0.27117547547304066,0
100,0.747141926683002,0.6384130720727683,0.5282441385720953,0.723467257393368,0.5228264932501363,0.21360715919211204,0.13055966348312054,0.7007393159760924,0.4426801787187735,0.2007174488629131,0.276691960478721,0.15631126834587383,0.3895274814737226,0.8127386708328449,0.18970050900353053,0.6319944091886919,0.38728681793591735,0.3442500235994409,0.27117547547304066,1
101,0.747141926683002,0.6384130720727683,0.5282441385720953,0.8846191019447835,0.77713259808797,0.36267150248661917,0.840925813317668,0.33020915363890824,0.11631856697661036,0.7011314424376426,0.9851138226182892,0.589575120709291,0.2947601148623823,0.5427312022688505,0.7977956726027992,0.20245467769987913,0.6275698260681138,0.19323210541449687,0.2032415957611493,0
